Pairwise comparison,Experiment,Study,Species A,Species B,Species pair,AinA mean,AinA_mean_reestimate,AinA se,AinA_se_reestimate,AinA N,AinB mean,AinB_mean_reestimate,AinB se,AinB N,AinB_se_reestimate,BinB mean,BinB_mean_reestimate,BinB se,BinB N,BinB_se_reestimate,BinA mean,BinA_mean_reestimate,BinA se,BinA N,BinA_se_reestimate
45,11,31,aegilops_triuncialis,bromus_tectorum,aegilops_triuncialis_bromus_tectorum,0.030042918,,0.014270386,,5,0.044,,0.0155,5,,0.056,,0.0105,5,,0.027896996,,0.006008584,5,
46,11,31,aegilops_triuncialis,taeniatherum_caput-medusae,aegilops_triuncialis_taeniatherum_caput-medusae,0.030042918,,0.014270386,,5,0.046,,0.0215,5,,0.042,,0.01,5,,0.038412017,,0.005042918,5,
47,11,31,agropyron_cristatum,bromus_tectorum,agropyron_cristatum_bromus_tectorum,0.062,,0.0155,,5,0.035,,0.0055,5,,0.056,,0.0105,5,,0.067,,0.0115,5,
48,11,31,agropyron_cristatum,taeniatherum_caput-medusae,agropyron_cristatum_taeniatherum_caput-medusae,0.062,,0.0155,,5,0.013,,0.0025,5,,0.042,,0.01,5,,0.05,,0.0155,5,
49,11,31,bromus_tectorum,taeniatherum_caput-medusae,bromus_tectorum_taeniatherum_caput-medusae,0.056,,0.0105,,5,0.02,,0.012,5,,0.042,,0.01,5,,0.058,,0.011,5,
50,11,31,elymus_elymoides,aegilops_triuncialis,aegilops_triuncialis_elymus_elymoides,0.026,,0.0085,,5,0.03111588,,0.011051502,5,,0.030042918,,0.014270386,5,,0.032,,0.005,5,
51,11,31,elymus_elymoides,agropyron_cristatum,agropyron_cristatum_elymus_elymoides,0.026,,0.0085,,5,0.046,,0.0205,5,,0.062,,0.0155,5,,0.038,,0.0075,5,
52,11,31,elymus_elymoides,bromus_tectorum,bromus_tectorum_elymus_elymoides,0.026,,0.0085,,5,0.062,,0.0085,5,,0.056,,0.0105,5,,0.042,,0.003,5,
53,11,31,elymus_elymoides,elymus_spicatus,elymus_elymoides_elymus_spicatus,0.026,,0.0085,,5,0.068,,0.017,5,,0.047,,0.0105,5,,0.019,,0.001,5,
54,11,31,elymus_elymoides,taeniatherum_caput-medusae,elymus_elymoides_taeniatherum_caput-medusae,0.026,,0.0085,,5,0.036,,0.0105,5,,0.042,,0.01,5,,0.065,,0.0095,5,
55,11,31,elymus_elymoides,vulpia_microstachys,elymus_elymoides_vulpia_microstachys,0.026,,0.0085,,5,0.031,,0.009,5,,0.009,,0.006,5,,0.025,,0.0055,5,
56,11,31,elymus_spicatus,aegilops_triuncialis,aegilops_triuncialis_elymus_spicatus,0.047,,0.0105,,5,0.026180258,,0.008690987,5,,0.030042918,,0.014270386,5,,0.073,,0.0125,5,
57,11,31,elymus_spicatus,agropyron_cristatum,agropyron_cristatum_elymus_spicatus,0.047,,0.0105,,5,0.059,,0.012,5,,0.062,,0.0155,5,,0.039,,0.009,5,
58,11,31,elymus_spicatus,bromus_tectorum,bromus_tectorum_elymus_spicatus,0.047,,0.0105,,5,0.031,,0.013,5,,0.056,,0.0105,5,,0.047,,0.0175,5,
59,11,31,elymus_spicatus,taeniatherum_caput-medusae,elymus_spicatus_taeniatherum_caput-medusae,0.047,,0.0105,,5,0.038,,0.01,5,,0.042,,0.01,5,,0.073,,0.012,5,
60,11,31,elymus_spicatus,vulpia_microstachys,elymus_spicatus_vulpia_microstachys,0.047,,0.0105,,5,0.015,,0.0035,5,,0.009,,0.006,5,,0.047,,0.009,5,
61,11,31,vulpia_microstachys,aegilops_triuncialis,aegilops_triuncialis_vulpia_microstachys,0.009,,0.006,,5,0.007081545,,0.004077253,5,,0.030042918,,0.014270386,5,,0.04,,0.0035,5,
62,11,31,vulpia_microstachys,agropyron_cristatum,agropyron_cristatum_vulpia_microstachys,0.009,,0.006,,5,0.069,,0.017,5,,0.062,,0.0155,5,,0.014,,0.0015,5,
63,11,31,vulpia_microstachys,bromus_tectorum,bromus_tectorum_vulpia_microstachys,0.009,,0.006,,5,0.036,,0.013,5,,0.056,,0.0105,5,,0.021,,0.008,5,
64,11,31,vulpia_microstachys,taeniatherum_caput-medusae,taeniatherum_caput-medusae_vulpia_microstachys,0.009,,0.006,,5,0.03,,0.0185,5,,0.042,,0.01,5,,0.024,,0.0035,5,
65,12,31,aegilops_triuncialis,agropyron_cristatum,aegilops_triuncialis_agropyron_cristatum,0.199,,0.035,,5,0.281,,0.048,5,,0.31,,0.047,5,,0.163,,0.048,5,
66,12,31,aegilops_triuncialis,bromus_tectorum,aegilops_triuncialis_bromus_tectorum,0.199,,0.035,,5,0.217,,0.0085,5,,0.224,,0.0555,5,,0.218,,0.035,5,
67,12,31,aegilops_triuncialis,taeniatherum_caput-medusae,aegilops_triuncialis_taeniatherum_caput-medusae,0.199,,0.035,,5,0.185,,0.0445,5,,0.132,,0.004,5,,0.164,,0.0305,5,
68,12,31,agropyron_cristatum,bromus_tectorum,agropyron_cristatum_bromus_tectorum,0.31,,0.047,,5,0.142,,0.0615,5,,0.224,,0.0555,5,,0.231,,0.0255,5,
69,12,31,agropyron_cristatum,taeniatherum_caput-medusae,agropyron_cristatum_taeniatherum_caput-medusae,0.31,,0.047,,5,0.237,,0.0425,5,,0.132,,0.004,5,,0.21,,0.019,5,
70,12,31,bromus_tectorum,taeniatherum_caput-medusae,bromus_tectorum_taeniatherum_caput-medusae,0.224,,0.0555,,5,0.16,,0.0045,5,,0.132,,0.004,5,,0.132,,0.004,5,
71,12,31,elymus_elymoides,aegilops_triuncialis,aegilops_triuncialis_elymus_elymoides,0.12,,0.0115,,5,0.188,,0.0255,5,,0.199,,0.035,5,,0.273,,0.039,5,
72,12,31,elymus_elymoides,agropyron_cristatum,agropyron_cristatum_elymus_elymoides,0.12,,0.0115,,5,0.166,,0.0525,5,,0.31,,0.047,5,,0.229,,0.0635,5,
73,12,31,elymus_elymoides,bromus_tectorum,bromus_tectorum_elymus_elymoides,0.12,,0.0115,,5,0.107,,0.0655,5,,0.224,,0.0555,5,,0.184,,0.0475,5,
74,12,31,elymus_elymoides,elymus_spicatus,elymus_elymoides_elymus_spicatus,0.12,,0.0115,,5,0.122,,0.048,5,,0.114,,0.0115,5,,0.177,,0.023,5,
75,12,31,elymus_elymoides,taeniatherum_caput-medusae,elymus_elymoides_taeniatherum_caput-medusae,0.12,,0.0115,,5,0.096,,0.0225,5,,0.132,,0.004,5,,0.223,,0.0235,5,
76,12,31,elymus_elymoides,vulpia_microstachys,elymus_elymoides_vulpia_microstachys,0.12,,0.0115,,5,0.178,,0.0365,5,,0.089,,0.038,5,,0.093,,0.053,5,
77,12,31,elymus_spicatus,aegilops_triuncialis,aegilops_triuncialis_elymus_spicatus,0.114,,0.0115,,5,0.188,,0.035,5,,0.199,,0.035,5,,0.282,,0.0245,5,
78,12,31,elymus_spicatus,agropyron_cristatum,agropyron_cristatum_elymus_spicatus,0.114,,0.0115,,5,0.201,,0.0715,5,,0.31,,0.047,5,,0.163,,0.048,5,
79,12,31,elymus_spicatus,bromus_tectorum,bromus_tectorum_elymus_spicatus,0.114,,0.0115,,5,0.216,,0.0065,5,,0.224,,0.0555,5,,0.221,,0.037,5,
80,12,31,elymus_spicatus,taeniatherum_caput-medusae,elymus_spicatus_taeniatherum_caput-medusae,0.114,,0.0115,,5,0.158,,0.004,5,,0.132,,0.004,5,,0.231,,0.0065,5,
81,12,31,elymus_spicatus,vulpia_microstachys,elymus_spicatus_vulpia_microstachys,0.114,,0.0115,,5,0.149,,0.036,5,,0.089,,0.038,5,,0.197,,0.0435,5,
82,12,31,vulpia_microstachys,aegilops_triuncialis,aegilops_triuncialis_vulpia_microstachys,0.089,,0.038,,5,0.156,,0.051,5,,0.199,,0.035,5,,0.268,,0.0145,5,
83,12,31,vulpia_microstachys,agropyron_cristatum,agropyron_cristatum_vulpia_microstachys,0.089,,0.038,,5,0.164,,0.0685,5,,0.31,,0.047,5,,0.141,,0.05,5,
84,12,31,vulpia_microstachys,bromus_tectorum,bromus_tectorum_vulpia_microstachys,0.089,,0.038,,5,0.043,,0.0255,5,,0.224,,0.0555,5,,0.193,,0.0375,5,
85,12,31,vulpia_microstachys,taeniatherum_caput-medusae,taeniatherum_caput-medusae_vulpia_microstachys,0.089,,0.038,,5,0.125,,0.0075,5,,0.132,,0.004,5,,0.174,,0.0195,5,
86,13,34,dittrichia_viscosa,pulicaria_dysenterica,dittrichia_viscosa_pulicaria_dysenterica,0.195,0.203592814371257,0.011,0.011976047904192,10,0.225,0.233532934131737,0.022,10,0.023952095808383,0.129,0.128654970760234,0.027,10,0.026315789473684,0.132,0.131578947368421,0.013,10,0.014619883040936
87,13,34,holcus_lanatus,dittrichia_viscosa,dittrichia_viscosa_holcus_lanatus,0.076,0.077142857142857,0.015,0.011428571428572,10,0.158,0.157142857142857,0.021,10,0.02,0.195,0.203592814371257,0.011,10,0.011976047904192,0.24,0.254491017964072,0.012,10,0.008982035928144
88,13,34,holcus_lanatus,pulicaria_dysenterica,holcus_lanatus_pulicaria_dysenterica,0.076,0.077142857142857,0.015,0.011428571428572,10,0.11,0.102857142857143,0.018,10,0.02,0.129,0.128654970760234,0.027,10,0.026315789473684,0.107,0.105263157894737,0.018,10,0.017543859649123
89,14,35,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.581,,0.032,,12,0.313,,0.036,12,,0.566,,0.04,12,,0.932,,0.085,12,
90,15,35,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.603,,0.041,,12,0.313,,0.032,12,,0.546,,0.055,12,,0.701,,0.06,12,
91,16,35,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,1.619,,0.177,,12,1.556,,0.132,12,,1.994,,0.22,12,,1.608,,0.18,12,
92,17,35,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.189,,0.015,,12,0.159,,0.015,12,,0.12,,0.018,12,,0.12,,0.021,12,
93,17,35,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.189,,0.015,,12,0.154,,0.015,12,,0.143,,0.019,12,,0.286,,0.027,12,
94,17,35,sorghastrum_nutans,schizachyrium_scoparium,schizachyrium_scoparium_sorghastrum_nutans,0.143,,0.019,,12,0.222,,0.019,12,,0.12,,0.018,12,,0.08,,0.006,12,
95,18,35,andropogon_gerardii,schizachyrium_scoparium,andropogon_gerardii_schizachyrium_scoparium,0.67,,0.097,,12,1.305,,0.154,12,,0.874,,0.239,12,,0.12,,0.021,12,
96,18,35,andropogon_gerardii,sorghastrum_nutans,andropogon_gerardii_sorghastrum_nutans,0.67,,0.097,,12,1.801,,0.317,12,,1.405,,0.162,12,,0.286,,0.027,12,
97,18,35,sorghastrum_nutans,schizachyrium_scoparium,schizachyrium_scoparium_sorghastrum_nutans,1.405,,0.162,,12,1.052,,0.083,12,,0.874,,0.239,12,,0.08,,0.006,12,
98,19,36,alopecurus_bonariensis,apera_spica-venti,alopecurus_bonariensis_apera_spica-venti,0.944,,0.031304952,,5,1.41,,0.071554175,5,,1.55,,0.129691943,5,,1.73,,0.053665631,5,
99,19,36,alopecurus_bonariensis,capsella_bursa-pastoris,alopecurus_bonariensis_capsella_bursa-pastoris,0.944,,0.031304952,,5,1.67,,0.089442719,5,,1.213,,0.125219807,5,,1.33,,0.04472136,5,
100,19,36,alopecurus_bonariensis,poa_annua,alopecurus_bonariensis_poa_annua,0.944,,0.031304952,,5,1.4,,0.062609903,5,,1.236,,0.102859127,5,,1.98,,0.04472136,5,
101,19,36,alopecurus_bonariensis,viola_arvensis,alopecurus_bonariensis_viola_arvensis,0.944,,0.031304952,,5,1.65,,0.120747671,5,,0.473,,0.053665631,5,,1.129,,0.143108351,5,
102,19,36,apera_spica-venti,capsella_bursa-pastoris,apera_spica-venti_capsella_bursa-pastoris,1.55,,0.129691943,,5,2.05,,0.067082039,5,,1.213,,0.125219807,5,,1.84,,0.053665631,5,
103,19,36,apera_spica-venti,poa_annua,apera_spica-venti_poa_annua,1.55,,0.129691943,,5,1.95,,0.147580487,5,,1.236,,0.102859127,5,,1.74,,0.053665631,5,
104,19,36,apera_spica-venti,viola_arvensis,apera_spica-venti_viola_arvensis,1.55,,0.129691943,,5,2.25,,0.058137767,5,,0.473,,0.053665631,5,,1.2,,0.169941166,5,
105,19,36,capsella_bursa-pastoris,viola_arvensis,capsella_bursa-pastoris_viola_arvensis,1.213,,0.125219807,,5,1.44,,0.107331263,5,,0.473,,0.053665631,5,,0.97,,0.178885438,5,
106,19,36,erigeron_canadensis,alopecurus_bonariensis,alopecurus_bonariensis_erigeron_canadensis,1.12,,0.024596748,,5,1.19,,0.104647981,5,,0.944,,0.031304952,5,,1.56,,0.076026311,5,
107,19,36,erigeron_canadensis,apera_spica-venti,apera_spica-venti_erigeron_canadensis,1.12,,0.024596748,,5,1.25,,0.042038078,5,,1.55,,0.129691943,5,,2.02,,0.080498447,5,
108,19,36,erigeron_canadensis,capsella_bursa-pastoris,capsella_bursa-pastoris_erigeron_canadensis,1.12,,0.024596748,,5,1.32,,0.044274146,5,,1.213,,0.125219807,5,,1.35,,0.084970583,5,
109,19,36,erigeron_canadensis,poa_annua,erigeron_canadensis_poa_annua,1.12,,0.024596748,,5,1.28,,0.016099689,5,,1.236,,0.102859127,5,,2.24,,0.317521653,5,
110,19,36,erigeron_canadensis,viola_arvensis,erigeron_canadensis_viola_arvensis,1.12,,0.024596748,,5,1.31,,0.034435447,5,,0.473,,0.053665631,5,,1.19,,0.138636215,5,
111,19,36,poa_annua,capsella_bursa-pastoris,capsella_bursa-pastoris_poa_annua,1.236,,0.102859127,,5,2.27,,0.084970583,5,,1.213,,0.125219807,5,,1.52,,0.040249224,5,
112,19,36,poa_annua,viola_arvensis,poa_annua_viola_arvensis,1.236,,0.102859127,,5,2.41,,0.080498447,5,,0.473,,0.053665631,5,,1.14,,0.008944272,5,
113,20,38,apeiba_membranacea,colubrina_spinosa,apeiba_membranacea_colubrina_spinosa,4.333459022,4.31506849315069,0.533993983,1.13013698630137,30,4.556675512,4.62328767123288,0.612483445,30,1.23287671232877,16.13,16.2162162162162,1.154547135,30,2.02702702702702,16.83209636,16.5540540540541,1.404578271,30,3.04054054054054
114,20,38,apeiba_membranacea,iriartea_deltoidea,apeiba_membranacea_iriartea_deltoidea,4.333459022,4.31506849315069,0.533993983,1.13013698630137,30,4.23831562,4.21232876712329,0.564298652,30,1.23287671232877,179.6765574,180.821917808219,11.97929974,30,24.6575342465754,166.4152648,164.383561643836,12.71950779,30,28.7671232876712
115,20,38,apeiba_membranacea,pentaclethra_macroloba,apeiba_membranacea_pentaclethra_macroloba,4.333459022,4.31506849315069,0.533993983,1.13013698630137,30,4.457550158,4.41780821917808,0.529402477,30,1.23287671232877,1451.326619,1459.45945945946,92.87634316,30,182.432432432432,1847.289449,1854.72972972973,118.4077964,30,243.243243243243
116,20,38,apeiba_membranacea,prestoea_decurrens,apeiba_membranacea_prestoea_decurrens,4.333459022,4.31506849315069,0.533993983,1.13013698630137,30,5.128806299,5.13698630136986,0.625094642,30,1.33561643835616,69.35,71.6216216216216,3.598950499,30,6.75675675675679,70.99198566,71.6216216216216,3.696427087,30,6.75675675675679
117,20,38,apeiba_membranacea,virola_koschnyi,apeiba_membranacea_virola_koschnyi,4.333459022,4.31506849315069,0.533993983,1.13013698630137,30,4.495887031,4.52054794520548,0.606389133,30,1.33561643835617,630.1138383,643.835616438357,37.75147902,30,54.7945205479454,722.5886446,726.027397260274,36.95696842,30,82.1917808219187
118,20,38,colubrina_spinosa,iriartea_deltoidea,colubrina_spinosa_iriartea_deltoidea,16.13,16.2162162162162,1.154547135,2.02702702702702,30,16.13288986,15.8783783783784,1.608595894,30,3.37837837837838,179.6765574,180.821917808219,11.97929974,30,24.6575342465754,141.5361593,143.835616438356,22.6279663,30,41.0958904109589
119,20,38,colubrina_spinosa,pentaclethra_macroloba,colubrina_spinosa_pentaclethra_macroloba,16.13,16.2162162162162,1.154547135,2.02702702702702,30,16.60177941,16.8918918918919,1.107388823,30,1.68918918918919,1451.326619,1459.45945945946,92.87634316,30,182.432432432432,1826.616292,1854.72972972973,129.3173553,30,243.243243243243
120,20,38,colubrina_spinosa,prestoea_decurrens,colubrina_spinosa_prestoea_decurrens,16.13,16.2162162162162,1.154547135,2.02702702702702,30,16.20155867,16.2162162162162,1.161839454,30,2.02702702702702,69.35,68.9189189189189,3.598950499,30,6.7567567567568,70.37442832,71.6216216216216,3.77330981,30,5.40540540540542
121,20,38,colubrina_spinosa,virola_koschnyi,colubrina_spinosa_virola_koschnyi,16.13,16.2162162162162,1.154547135,2.02702702702702,30,17.34,17.2297297297297,1.129605969,30,2.02702702702703,630.1138383,643.835616438357,37.75147902,30,54.7945205479454,771.8145594,780.821917808219,41.33913915,30,82.1917808219188
122,20,38,iriartea_deltoidea,pentaclethra_macroloba,iriartea_deltoidea_pentaclethra_macroloba,179.6765574,180.821917808219,11.97929974,24.6575342465754,30,258.0638356,263.013698630137,9.782898681,30,16.4383561643836,1451.326619,1459.45945945946,92.87634316,30,182.432432432432,1580.393308,1581.08108108108,104.4620245,30,212.837837837837
123,20,38,iriartea_deltoidea,prestoea_decurrens,iriartea_deltoidea_prestoea_decurrens,179.6765574,180.821917808219,11.97929974,24.6575342465754,30,209.938434,213.698630136986,10.44534913,30,16.4383561643836,69.35,68.9189189189189,3.598950499,30,6.7567567567568,69.37204102,71.6216216216216,3.681456518,30,5.40540540540542
124,20,38,iriartea_deltoidea,virola_koschnyi,iriartea_deltoidea_virola_koschnyi,179.6765574,180.821917808219,11.97929974,24.6575342465754,30,171.6147255,172.602739726027,12.91614082,30,184.344133152603,630.1138383,643.835616438357,37.75147902,30,54.7945205479454,858.0935159,876.712328767124,39.09001157,30,68.4931506849304
125,20,38,pentaclethra_macroloba,prestoea_decurrens,pentaclethra_macroloba_prestoea_decurrens,1451.326619,1459.45945945946,92.87634316,182.432432432432,30,1861.077124,1885.13513513514,112.1397335,30,212.837837837837,69.35,68.9189189189189,3.598950499,30,6.7567567567568,60.41148333,59.4594594594595,3.852806881,30,8.10810810810804
126,20,38,pentaclethra_macroloba,virola_koschnyi,pentaclethra_macroloba_virola_koschnyi,1451.326619,1459.45945945946,92.87634316,182.432432432432,30,1906.068347,1885.13513513514,117.7395184,30,273.648648648648,630.1138383,643.835616438357,37.75147902,30,54.7945205479454,730.6313601,726.027397260274,37.79650396,30,68.4931506849321
